"","X","richness","Location","Year","state","Habitat","Management"
"61",61,54,"Ste Anne Carbonate",2008,"Shifted","Carbonate","Protected"
"62",62,61,"Ste Anne Granite",2008,"Recovering","Granitic","Protected"
"63",63,48,"Ste Anne Patch",2008,"Recovering","Patch","Protected"
"64",64,40,"Cousin Carbonate",2011,"Shifted","Carbonate","Protected"
"65",65,46,"Cousin Granite",2011,"Shifted","Granitic","Protected"
"66",66,54,"Cousin Patch",2011,"Shifted","Patch","Protected"
"67",67,30,"Mahe E Carbonate",2011,"Shifted","Carbonate","Fished"
"68",68,36,"Mahe E Granite",2011,"Shifted","Granitic","Fished"
"69",69,43,"Mahe E Patch",2011,"Recovering","Patch","Fished"
"70",70,53,"Mahe NW Carbonate",2011,"Recovering","Carbonate","Protected"
"71",71,58,"Mahe NW Granite",2011,"Recovering","Granitic","Fished"
"72",72,54,"Mahe NW Patch",2011,"Recovering","Patch","Fished"
"73",73,64,"Mahe W Carbonate",2011,"Recovering","Carbonate","Fished"
"74",74,59,"Mahe W Granite",2011,"Recovering","Granitic","Fished"
"75",75,53,"Mahe W Patch",2011,"Recovering","Patch","Fished"
"76",76,28,"Praslin NE Carbonate",2011,"Shifted","Carbonate","Fished"
"77",77,67,"Praslin NE Granite",2011,"Recovering","Granitic","Protected"
"78",78,52,"Praslin NE Patch",2011,"Recovering","Patch","Protected"
"79",79,31,"Praslin SW Carbonate",2011,"Shifted","Carbonate","Fished"
"80",80,63,"Praslin SW Granite",2011,"Recovering","Granitic","Fished"
"81",81,52,"Praslin SW Patch",2011,"Shifted","Patch","Fished"
"82",82,30,"Ste Anne Carbonate",2011,"Shifted","Carbonate","Protected"
"83",83,65,"Ste Anne Granite",2011,"Recovering","Granitic","Protected"
"84",84,61,"Ste Anne Patch",2011,"Recovering","Patch","Protected"
"85",85,33,"Cousin Carbonate",2014,"Shifted","Carbonate","Protected"
"86",86,46,"Cousin Granite",2014,"Shifted","Granitic","Protected"
"87",87,52,"Cousin Patch",2014,"Shifted","Patch","Protected"
"88",88,46,"Mahe E Carbonate",2014,"Shifted","Carbonate","Fished"
"89",89,37,"Mahe E Granite",2014,"Shifted","Granitic","Fished"
"90",90,50,"Mahe E Patch",2014,"Recovering","Patch","Fished"
"91",91,60,"Mahe NW Carbonate",2014,"Recovering","Carbonate","Protected"
"92",92,56,"Mahe NW Granite",2014,"Recovering","Granitic","Fished"
"93",93,65,"Mahe NW Patch",2014,"Recovering","Patch","Fished"
"94",94,56,"Mahe W Carbonate",2014,"Recovering","Carbonate","Fished"
"95",95,62,"Mahe W Granite",2014,"Recovering","Granitic","Fished"
"96",96,53,"Mahe W Patch",2014,"Recovering","Patch","Fished"
"97",97,24,"Praslin NE Carbonate",2014,"Shifted","Carbonate","Fished"
"98",98,63,"Praslin NE Granite",2014,"Recovering","Granitic","Protected"
"99",99,46,"Praslin NE Patch",2014,"Recovering","Patch","Protected"
"100",100,52,"Praslin SW Carbonate",2014,"Shifted","Carbonate","Fished"
"101",101,65,"Praslin SW Granite",2014,"Recovering","Granitic","Fished"
"102",102,49,"Praslin SW Patch",2014,"Shifted","Patch","Fished"
"103",103,52,"Ste Anne Carbonate",2014,"Shifted","Carbonate","Protected"
"104",104,68,"Ste Anne Granite",2014,"Recovering","Granitic","Protected"
"105",105,50,"Ste Anne Patch",2014,"Recovering","Patch","Protected"
"106",106,41,"Mahe E Carbonate",2017,"Shifted","Carbonate","Fished"
"107",107,34,"Mahe E Granite",2017,"Shifted","Granitic","Fished"
"108",108,51,"Mahe E Patch",2017,"Recovering","Patch","Fished"
"109",109,56,"Mahe NW Carbonate",2017,"Recovering","Carbonate","Protected"
"110",110,62,"Mahe NW Granite",2017,"Recovering","Granitic","Fished"
"111",111,51,"Mahe NW Patch",2017,"Recovering","Patch","Fished"
"112",112,59,"Mahe W Carbonate",2017,"Recovering","Carbonate","Fished"
"113",113,65,"Mahe W Granite",2017,"Recovering","Granitic","Fished"
"114",114,52,"Mahe W Patch",2017,"Recovering","Patch","Fished"
"115",115,32,"Praslin NE Carbonate",2017,"Shifted","Carbonate","Fished"
"116",116,74,"Praslin NE Granite",2017,"Recovering","Granitic","Protected"
"117",117,45,"Praslin NE Patch",2017,"Recovering","Patch","Protected"
"118",118,40,"Praslin SW Carbonate",2017,"Shifted","Carbonate","Fished"
"119",119,66,"Praslin SW Granite",2017,"Recovering","Granitic","Fished"
"120",120,53,"Praslin SW Patch",2017,"Shifted","Patch","Fished"
"121",121,39,"Ste Anne Carbonate",2017,"Shifted","Carbonate","Protected"
"122",122,65,"Ste Anne Granite",2017,"Recovering","Granitic","Protected"
"123",123,56,"Ste Anne Patch",2017,"Recovering","Patch","Protected"
